5104,Australia Street Infants School,94.2
3792,Avalon Public School,94.1
1082,Avoca Beach Public School,94.3
1081,Avoca Public School,94.2
1084,Awaba Public School,94.6
1091,Badgerys Creek Public School,
4291,Balarang Public School,94.6
1098,Bald Blair Public School,94.9
3794,Bald Face Public School,96.5
3736,Balgowlah Heights Public School,95.9
3984,Balgowlah North Public School,95.1
1106,Balgownie Public School,95.5
1111,Ballimore Public School,97.5
8195,Ballina Coast High School,80.7
1112,Ballina Public School,92.9
7404,Balmain Public School,96.5
1115,Balranald Central School,86.4
1118,Bangalow Public School,93
4536,Bangor Public School,94.9
4571,Banks Public School,93
4217,Banksia Road Public School,92.6
1121,Banksmeadow Public School,94.8
8254,Bankstown Girls High School,87.7
1124,Bankstown North Public School,94.2
7405,Bankstown Public School,93.4
8381,Bankstown Senior College,89.3
5246,Bankstown South Infants School,92.9
4142,Bankstown West Public School,93.8
8282,Banora Point High School,87.2
1129,Banora Point Public School,94.8
1130,Baradine Central School,90.2
4311,Bardia Public School,93.7
5148,Bardwell Park Infants School,94.4
1131,Barellan Central School,92.3
1134,Bargo Public School,94.5
8461,Barham High School,92.1
1135,Barham Public School,93
1136,Barkers Vale Public School,87
1137,Barmedman Public School,95.2
4599,Barnier Public School,93.3
1138,Barnsley Public School,94.1
1139,Barooga Public School,94
1140,Barraba Central School,85.5
4501,Barrack Heights Public School,93.7
4671,Barramurra Public School,
8454,Barrenjoey High School,91.8
1143,Barrington Public School,96.1
5762,Barwon Learning Centre,
1146,Baryulgil Public School,sp
8223,Bass High School,87.3
1148,Bass Hill Public School,93.1
4520,Bateau Bay Public School,93.5
8581,Batemans Bay High School,84.3
1149,Batemans Bay Public School,91.7
5647,Bates Drive School,
1150,Bathurst Public School,92.8
3847,Bathurst South Public School,92.9
3824,Bathurst West Public School,93.5
1152,Batlow Technology School,90.4
8464,Baulkham Hills High School,96
4377,Baulkham Hills North Public School,95.1
4660,Bayanami Public School,
3971,Beacon Hill Public School,95.7
4630,Beaumont Hills Public School,95
3956,Beaumont Road Public School,97.2
5212,Beauty Point Public School,95.9
1160,Beckom Public School,97.8
1164,Bedgerabong Public School,95.1
1165,Beechwood Public School,94.3
1166,Beecroft Public School,96.6
1167,Beelbangera Public School,93.8
8165,Bega High School,86.1
1168,Bega Valley Public School,90.1
4137,Bega West Public School,
4370,Belair Public School,95.1
4663,Bella Vista Public School,
3979,Bellambi Public School,92.1
1175,Bellata Public School,92
1177,Bellbird Public School,92.8
1178,Bellbrook Public School,84.5
1179,Bellevue Hill Public School,95.1
1180,Bellimbopinni Public School,
8258,Bellingen High School,89.9
1181,Bellingen Public School,90.4
1182,Belltrees Public School,96.9
8203,Belmont High School,92.4
3927,Belmont North Public School,92.2
1183,Belmont Public School,91.6
8804,Belmore Boys High School,90.1
1185,Belmore North Public School,92.9
1186,Belmore South Public School,93.8
3748,Belrose Public School,95.9
1189,Bemboka Public School,93.3
1196,Ben Lomond Public School,96.1
1198,Ben Venue Public School,94.8
1191,Bendemeer Public School,96.5
4285,Bennett Road Public School,92
1199,Berala Public School,96.8
1201,Beresfield Public School,91
4405,Beresford Road Public School,94.3
4450,Berinba Public School,92.3
1202,Berkeley Public School,92.3
1203,Berkeley Vale Public School,93.3
4180,Berkeley West Public School,94
1204,Bermagui Public School,91.5
1205,Berowra Public School,95.8
1206,Berridale Public School,94.5
1207,Berrigan Public School,93
1209,Berrima Public School,95.1
1211,Berry Public School,92.4
4192,Bert Oldfield Public School,91.6
5508,Beverley Park School,
8255,Beverly Hills Girls High School,90.8
3944,Beverly Hills North Public School,95.2
