postcode,crimes,,,,,,,,,,,,,,
2428,2244,,,,,,,,,,,,,,
2429,455,,,,,,,,,,,,,,
2430,3757,,,,,,,,,,,,,,
2431,418,,,,,,,,,,,,,,
2439,103,,,,,,,,,,,,,,
2440,3058,,,,,,,,,,,,,,
2441,293,,,,,,,,,,,,,,
2443,405,,,,,,,,,,,,,,
2444,3741,,,,,,,,,,,,,,
2445,175,,,,,,,,,,,,,,
2446,811,,,,,,,,,,,,,,
2447,667,,,,,,,,,,,,,,
2448,989,,,,,,,,,,,,,,
2449,186,,,,,,,,,,,,,,
2450,5457,,,,,,,,,,,,,,
2452,996,,,,,,,,,,,,,,
2453,140,,,,,,,,,,,,,,
2454,477,,,,,,,,,,,,,,
2455,230,,,,,,,,,,,,,,
2456,935,,,,,,,,,,,,,,
2460,3261,,,,,,,,,,,,,,
2462,130,,,,,,,,,,,,,,
2463,646,,,,,,,,,,,,,,
2464,623,,,,,,,,,,,,,,
2465,44,,,,,,,,,,,,,,
2466,109,,,,,,,,,,,,,,
2469,417,,,,,,,,,,,,,,
2470,1943,,,,,,,,,,,,,,
2471,223,,,,,,,,,,,,,,
2472,106,,,,,,,,,,,,,,
2473,216,,,,,,,,,,,,,,
2474,400,,,,,,,,,,,,,,
2475,42,,,,,,,,,,,,,,
2476,68,,,,,,,,,,,,,,
2477,474,,,,,,,,,,,,,,
2478,2164,,,,,,,,,,,,,,
2479,175,,,,,,,,,,,,,,
2480,5186,,,,,,,,,,,,,,
2481,2851,,,,,,,,,,,,,,
2482,379,,,,,,,,,,,,,,
2483,1231,,,,,,,,,,,,,,
2484,1099,,,,,,,,,,,,,,
2485,1739,,,,,,,,,,,,,,
2486,1499,,,,,,,,,,,,,,
2487,871,,,,,,,,,,,,,,
2488,153,,,,,,,,,,,,,,
2489,276,,,,,,,,,,,,,,
2490,30,,,,,,,,,,,,,,
2500,6166,,,,,,,,,,,,,,
2502,1788,,,,,,,,,,,,,,
2505,727,,,,,,,,,,,,,,
2506,676,,,,,,,,,,,,,,
2508,208,,,,,,,,,,,,,,
2515,365,,,,,,,,,,,,,,
2516,342,,,,,,,,,,,,,,
2517,615,,,,,,,,,,,,,,
2518,1511,,,,,,,,,,,,,,
2519,982,,,,,,,,,,,,,,
2522,58,,,,,,,,,,,,,,
2525,501,,,,,,,,,,,,,,
2526,1053,,,,,,,,,,,,,,
2527,1117,,,,,,,,,,,,,,
2528,2027,,,,,,,,,,,,,,
2529,2419,,,,,,,,,,,,,,
2530,1688,,,,,,,,,,,,,,
2533,650,,,,,,,,,,,,,,
2534,179,,,,,,,,,,,,,,
2535,280,,,,,,,,,,,,,,
2536,1844,,,,,,,,,,,,,,
2537,811,,,,,,,,,,,,,,
2538,133,,,,,,,,,,,,,,
2539,1038,,,,,,,,,,,,,,
